[21:24:51] TCP | 151.101.38.172 -> 192.168.0.100 | Ports 443 -> 49810 | Size: 1494 bytes
[21:24:51] TCP | 192.168.0.100 -> 151.101.38.172 | Ports 49810 -> 443 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 162 bytes
[21:24:51] TCP | 4.225.11.192 -> 192.168.0.100 | Ports 443 -> 50308 | Size: 60 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 102 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 120 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 263 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 939 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1168 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 958 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 265 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 262 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 267 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 970 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
